2024-02-21 00:51:06.285218
E:\Geometric_Weighted_UDF\train_udf.py
epoch: 000 total loss: 0.0011088, udf loss: 0.0011088, surface udf loss: nan
epoch: 001 total loss: 0.0010218, udf loss: 0.0010218, surface udf loss: nan
epoch: 002 total loss: 0.0010159, udf loss: 0.0010159, surface udf loss: nan
epoch: 003 total loss: 0.0010115, udf loss: 0.0010115, surface udf loss: nan
epoch: 004 total loss: 0.0010048, udf loss: 0.0010048, surface udf loss: nan
epoch: 005 total loss: 0.0009915, udf loss: 0.0009915, surface udf loss: nan
epoch: 006 total loss: 0.0009782, udf loss: 0.0009782, surface udf loss: nan
epoch: 007 total loss: 0.0009680, udf loss: 0.0009680, surface udf loss: nan
epoch: 008 total loss: 0.0009576, udf loss: 0.0009576, surface udf loss: nan
epoch: 009 total loss: 0.0009423, udf loss: 0.0009423, surface udf loss: nan
epoch: 010 total loss: 0.0009253, udf loss: 0.0009253, surface udf loss: nan
epoch: 011 total loss: 0.0009136, udf loss: 0.0009136, surface udf loss: nan
epoch: 012 total loss: 0.0009054, udf loss: 0.0009054, surface udf loss: nan
epoch: 013 total loss: 0.0008979, udf loss: 0.0008979, surface udf loss: nan
epoch: 014 total loss: 0.0008923, udf loss: 0.0008923, surface udf loss: nan
epoch: 015 total loss: 0.0008889, udf loss: 0.0008889, surface udf loss: nan
epoch: 016 total loss: 0.0008843, udf loss: 0.0008843, surface udf loss: nan
epoch: 017 total loss: 0.0008819, udf loss: 0.0008819, surface udf loss: nan
epoch: 018 total loss: 0.0008785, udf loss: 0.0008785, surface udf loss: nan
epoch: 019 total loss: 0.0008765, udf loss: 0.0008765, surface udf loss: nan
epoch: 020 total loss: 0.0008742, udf loss: 0.0008742, surface udf loss: nan
epoch: 021 total loss: 0.0008692, udf loss: 0.0008692, surface udf loss: nan
epoch: 022 total loss: 0.0008650, udf loss: 0.0008650, surface udf loss: nan
epoch: 023 total loss: 0.0008621, udf loss: 0.0008621, surface udf loss: nan
epoch: 024 total loss: 0.0008580, udf loss: 0.0008580, surface udf loss: nan
epoch: 025 total loss: 0.0008544, udf loss: 0.0008544, surface udf loss: nan
epoch: 026 total loss: 0.0008507, udf loss: 0.0008507, surface udf loss: nan
epoch: 027 total loss: 0.0008472, udf loss: 0.0008472, surface udf loss: nan
epoch: 028 total loss: 0.0008444, udf loss: 0.0008444, surface udf loss: nan
epoch: 029 total loss: 0.0008412, udf loss: 0.0008412, surface udf loss: nan
epoch: 030 total loss: 0.0008363, udf loss: 0.0008363, surface udf loss: nan
epoch: 031 total loss: 0.0008313, udf loss: 0.0008313, surface udf loss: nan
epoch: 032 total loss: 0.0008260, udf loss: 0.0008260, surface udf loss: nan
epoch: 033 total loss: 0.0008198, udf loss: 0.0008198, surface udf loss: nan
epoch: 034 total loss: 0.0008119, udf loss: 0.0008119, surface udf loss: nan
epoch: 035 total loss: 0.0008051, udf loss: 0.0008051, surface udf loss: nan
epoch: 036 total loss: 0.0007981, udf loss: 0.0007981, surface udf loss: nan
epoch: 037 total loss: 0.0007900, udf loss: 0.0007900, surface udf loss: nan
epoch: 038 total loss: 0.0007820, udf loss: 0.0007820, surface udf loss: nan
epoch: 039 total loss: 0.0007763, udf loss: 0.0007763, surface udf loss: nan
epoch: 040 total loss: 0.0007689, udf loss: 0.0007689, surface udf loss: nan
epoch: 041 total loss: 0.0007629, udf loss: 0.0007629, surface udf loss: nan
epoch: 042 total loss: 0.0007586, udf loss: 0.0007586, surface udf loss: nan
epoch: 043 total loss: 0.0007525, udf loss: 0.0007525, surface udf loss: nan
epoch: 044 total loss: 0.0007494, udf loss: 0.0007494, surface udf loss: nan
epoch: 045 total loss: 0.0007452, udf loss: 0.0007452, surface udf loss: nan
epoch: 046 total loss: 0.0007409, udf loss: 0.0007409, surface udf loss: nan
epoch: 047 total loss: 0.0007381, udf loss: 0.0007381, surface udf loss: nan
epoch: 048 total loss: 0.0007379, udf loss: 0.0007379, surface udf loss: nan
epoch: 049 total loss: 0.0007337, udf loss: 0.0007337, surface udf loss: nan
epoch: 050 total loss: 0.0007277, udf loss: 0.0007277, surface udf loss: nan
epoch: 051 total loss: 0.0007242, udf loss: 0.0007242, surface udf loss: nan
epoch: 052 total loss: 0.0007215, udf loss: 0.0007215, surface udf loss: nan
epoch: 053 total loss: 0.0007181, udf loss: 0.0007181, surface udf loss: nan
epoch: 054 total loss: 0.0007152, udf loss: 0.0007152, surface udf loss: nan
epoch: 055 total loss: 0.0007115, udf loss: 0.0007115, surface udf loss: nan
epoch: 056 total loss: 0.0007091, udf loss: 0.0007091, surface udf loss: nan
epoch: 057 total loss: 0.0007086, udf loss: 0.0007086, surface udf loss: nan
epoch: 058 total loss: 0.0007064, udf loss: 0.0007064, surface udf loss: nan
epoch: 059 total loss: 0.0007050, udf loss: 0.0007050, surface udf loss: nan
epoch: 060 total loss: 0.0007015, udf loss: 0.0007015, surface udf loss: nan
epoch: 061 total loss: 0.0006999, udf loss: 0.0006999, surface udf loss: nan
epoch: 062 total loss: 0.0006975, udf loss: 0.0006975, surface udf loss: nan
epoch: 063 total loss: 0.0006961, udf loss: 0.0006961, surface udf loss: nan
epoch: 064 total loss: 0.0006940, udf loss: 0.0006940, surface udf loss: nan
epoch: 065 total loss: 0.0006921, udf loss: 0.0006921, surface udf loss: nan
epoch: 066 total loss: 0.0006904, udf loss: 0.0006904, surface udf loss: nan
epoch: 067 total loss: 0.0006892, udf loss: 0.0006892, surface udf loss: nan
epoch: 068 total loss: 0.0006877, udf loss: 0.0006877, surface udf loss: nan
epoch: 069 total loss: 0.0006865, udf loss: 0.0006865, surface udf loss: nan
epoch: 070 total loss: 0.0006836, udf loss: 0.0006836, surface udf loss: nan
epoch: 071 total loss: 0.0006832, udf loss: 0.0006832, surface udf loss: nan
epoch: 072 total loss: 0.0006826, udf loss: 0.0006826, surface udf loss: nan
epoch: 073 total loss: 0.0006812, udf loss: 0.0006812, surface udf loss: nan
epoch: 074 total loss: 0.0006802, udf loss: 0.0006802, surface udf loss: nan
epoch: 075 total loss: 0.0006783, udf loss: 0.0006783, surface udf loss: nan
epoch: 076 total loss: 0.0006769, udf loss: 0.0006769, surface udf loss: nan
epoch: 077 total loss: 0.0006762, udf loss: 0.0006762, surface udf loss: nan
epoch: 078 total loss: 0.0006754, udf loss: 0.0006754, surface udf loss: nan
epoch: 079 total loss: 0.0006738, udf loss: 0.0006738, surface udf loss: nan
epoch: 080 total loss: 0.0006737, udf loss: 0.0006737, surface udf loss: nan
epoch: 081 total loss: 0.0006727, udf loss: 0.0006727, surface udf loss: nan
epoch: 082 total loss: 0.0006715, udf loss: 0.0006715, surface udf loss: nan
epoch: 083 total loss: 0.0006710, udf loss: 0.0006710, surface udf loss: nan
epoch: 084 total loss: 0.0006701, udf loss: 0.0006701, surface udf loss: nan
epoch: 085 total loss: 0.0006690, udf loss: 0.0006690, surface udf loss: nan
epoch: 086 total loss: 0.0006690, udf loss: 0.0006690, surface udf loss: nan
epoch: 087 total loss: 0.0006694, udf loss: 0.0006694, surface udf loss: nan
epoch: 088 total loss: 0.0006693, udf loss: 0.0006693, surface udf loss: nan
epoch: 089 total loss: 0.0006681, udf loss: 0.0006681, surface udf loss: nan
epoch: 090 total loss: 0.0006658, udf loss: 0.0006658, surface udf loss: nan
epoch: 091 total loss: 0.0006655, udf loss: 0.0006655, surface udf loss: nan
epoch: 092 total loss: 0.0006671, udf loss: 0.0006671, surface udf loss: nan
epoch: 093 total loss: 0.0006660, udf loss: 0.0006660, surface udf loss: nan
epoch: 094 total loss: 0.0006648, udf loss: 0.0006648, surface udf loss: nan
epoch: 095 total loss: 0.0006639, udf loss: 0.0006639, surface udf loss: nan
epoch: 096 total loss: 0.0006625, udf loss: 0.0006625, surface udf loss: nan
epoch: 097 total loss: 0.0006622, udf loss: 0.0006622, surface udf loss: nan
epoch: 098 total loss: 0.0006601, udf loss: 0.0006601, surface udf loss: nan
epoch: 099 total loss: 0.0006589, udf loss: 0.0006589, surface udf loss: nan
epoch: 100 total loss: 0.0006590, udf loss: 0.0006590, surface udf loss: nan
epoch: 101 total loss: 0.0006589, udf loss: 0.0006589, surface udf loss: nan
epoch: 102 total loss: 0.0006591, udf loss: 0.0006591, surface udf loss: nan
epoch: 103 total loss: 0.0006578, udf loss: 0.0006578, surface udf loss: nan
epoch: 104 total loss: 0.0006597, udf loss: 0.0006597, surface udf loss: nan
epoch: 105 total loss: 0.0006583, udf loss: 0.0006583, surface udf loss: nan
epoch: 106 total loss: 0.0006577, udf loss: 0.0006577, surface udf loss: nan
epoch: 107 total loss: 0.0006564, udf loss: 0.0006564, surface udf loss: nan
epoch: 108 total loss: 0.0006564, udf loss: 0.0006564, surface udf loss: nan
epoch: 109 total loss: 0.0006558, udf loss: 0.0006558, surface udf loss: nan
epoch: 110 total loss: 0.0006554, udf loss: 0.0006554, surface udf loss: nan
epoch: 111 total loss: 0.0006560, udf loss: 0.0006560, surface udf loss: nan
epoch: 112 total loss: 0.0006543, udf loss: 0.0006543, surface udf loss: nan
epoch: 113 total loss: 0.0006548, udf loss: 0.0006548, surface udf loss: nan
epoch: 114 total loss: 0.0006544, udf loss: 0.0006544, surface udf loss: nan
epoch: 115 total loss: 0.0006531, udf loss: 0.0006531, surface udf loss: nan
epoch: 116 total loss: 0.0006536, udf loss: 0.0006536, surface udf loss: nan
epoch: 117 total loss: 0.0006531, udf loss: 0.0006531, surface udf loss: nan
epoch: 118 total loss: 0.0006532, udf loss: 0.0006532, surface udf loss: nan
epoch: 119 total loss: 0.0006532, udf loss: 0.0006532, surface udf loss: nan
epoch: 120 total loss: 0.0006537, udf loss: 0.0006537, surface udf loss: nan
epoch: 121 total loss: 0.0006538, udf loss: 0.0006538, surface udf loss: nan
epoch: 122 total loss: 0.0006530, udf loss: 0.0006530, surface udf loss: nan
epoch: 123 total loss: 0.0006525, udf loss: 0.0006525, surface udf loss: nan
epoch: 124 total loss: 0.0006523, udf loss: 0.0006523, surface udf loss: nan
epoch: 125 total loss: 0.0006510, udf loss: 0.0006510, surface udf loss: nan
epoch: 126 total loss: 0.0006542, udf loss: 0.0006542, surface udf loss: nan
epoch: 127 total loss: 0.0006511, udf loss: 0.0006511, surface udf loss: nan
epoch: 128 total loss: 0.0006518, udf loss: 0.0006518, surface udf loss: nan
epoch: 129 total loss: 0.0006498, udf loss: 0.0006498, surface udf loss: nan
epoch: 130 total loss: 0.0006509, udf loss: 0.0006509, surface udf loss: nan
epoch: 131 total loss: 0.0006499, udf loss: 0.0006499, surface udf loss: nan
epoch: 132 total loss: 0.0006485, udf loss: 0.0006485, surface udf loss: nan
epoch: 133 total loss: 0.0006487, udf loss: 0.0006487, surface udf loss: nan
epoch: 134 total loss: 0.0006491, udf loss: 0.0006491, surface udf loss: nan
epoch: 135 total loss: 0.0006480, udf loss: 0.0006480, surface udf loss: nan
epoch: 136 total loss: 0.0006468, udf loss: 0.0006468, surface udf loss: nan
epoch: 137 total loss: 0.0006470, udf loss: 0.0006470, surface udf loss: nan
epoch: 138 total loss: 0.0006452, udf loss: 0.0006452, surface udf loss: nan
epoch: 139 total loss: 0.0006466, udf loss: 0.0006466, surface udf loss: nan
epoch: 140 total loss: 0.0006473, udf loss: 0.0006473, surface udf loss: nan
epoch: 141 total loss: 0.0006461, udf loss: 0.0006461, surface udf loss: nan
epoch: 142 total loss: 0.0006461, udf loss: 0.0006461, surface udf loss: nan
epoch: 143 total loss: 0.0006448, udf loss: 0.0006448, surface udf loss: nan
epoch: 144 total loss: 0.0006455, udf loss: 0.0006455, surface udf loss: nan
epoch: 145 total loss: 0.0006456, udf loss: 0.0006456, surface udf loss: nan
epoch: 146 total loss: 0.0006454, udf loss: 0.0006454, surface udf loss: nan
